FormatID,FormatName,FormatVersion,ReleaseDate,ExternalSignature,PUID,MIME,Source
103,Log File,,1979,log,x-fmt/62,,http://bees-knees.mit.edu/trac/trac.fcgi/browser/trunk/server/fedora/config/etc/syslog.conf?rev=1979
385,Tape Archive Format,,1979/01,tar,x-fmt/265,application/x-tar,https://man.freebsd.org/cgi/man.cgi?query=tar&apropos=0&sektion=5&manpath=FreeBSD+7.0-RELEASE&arch=default&format=html
388,BZIP2 Compressed Archive,,1996/07/18,bz2,x-fmt/268,application/x-bzip2,https://www.ncbi.nlm.nih.gov/IEB/ToolBox/CPP_DOC/lxr/source/src/util/compress/bzip2/README
934,Binary File,,1970,bin,fmt/208,,
805,Icon file format,,2003-09-03,ico,x-fmt/418,image/vnd.microsoft.icon image/x-icon,https://www.iana.org/assignments/media-types/image/vnd.microsoft.icon
807,Windows Setup File,,1995/08/24,inf,x-fmt/420,application/inf,https://microsoft.fandom.com/wiki/Microsoft_Office_95
1444,Exchangeable Image File Format (Compressed),2.21,2003/09,jpg jpeg,fmt/645,image/jpeg,https://www.cipa.jp/std/documents/e/DC-008-2012_E.pdf
1939,PDF 2.0 - Portable Document Format,2.0,2020/12,pdf,fmt/1129,application/pdf,https://www.iso.org/standard/75839.html
1310,Macro enabled Microsoft Word Document OOXML,2007 Onwards,2007/01/30,docm,fmt/523,application/vnd.ms-word.document.macroEnabled.12,https://microsoft.fandom.com/wiki/Microsoft_Office_2007
1696,Compound WordPerfect for Windows Document,6 onwards,1993/09,wpd doc wp6 wp w60,fmt/892,application/vnd.wordperfect,https://archive.org/details/word-perfect-six-o-6.0-windows-1993
642,Hypertext Markup Language,4.01,24 Dec 1999,htm html,fmt/100,text/html,https://www.nationalarchives.gov.uk/PRONOM/fmt/100
1232,Microsoft Excel Macro-Enabled,2007,2007/01/30,xlsm,fmt/445,application/vnd.ms-excel.sheet.macroEnabled.12,https://microsoft.fandom.com/wiki/Microsoft_Office_2007
693,Windows Media Video,,01 Dec 2004,asf wmv,fmt/133,video/x-ms-wmv,https://www.nationalarchives.gov.uk/PRONOM/fmt/133
1348,Adobe Illustrator,11.0,2003/09,ai pdf,fmt/560,application/postscript,https://adobe.fandom.com/wiki/Adobe_Illustrator#Versions_CS_(11)_&_CS2_(12)
1073,EndNote Import File,,1989,enw enr,fmt/328,application/x-endnote-refer,"Miller, S., EndNote. Computers and the Humanities 1989, 23 (6), 489-491"
1439,MPEG-2 Elementary Stream,,1996/04,mpg mpeg m2v,fmt/640,,https://apple.fandom.com/wiki/MPEG-2
1448,MPEG-1 Elementary Stream,,1993/08,mpg mpeg m1v,fmt/649,,https://apple.fandom.com/wiki/MPEG-1
659,MPEG-1 Program Stream,,1993/08,mpeg mpg,x-fmt/385,video/mpeg,https://apple.fandom.com/wiki/MPEG-1
1512,RF64 Multichannel Broadcast Wave format,,2007,wav rf64,fmt/713,,https://tech.ebu.ch/docs/tech/tech3306.pdf
1502,Broadcast WAVE,0 PCM Encoding,1997,wav,fmt/703,audio/x-wav,https://tech.ebu.ch/docs/tech/tech3285.pdf
1504,Broadcast WAVE,2 PCM Encoding,1997,wav,fmt/705,audio/x-wav,https://tech.ebu.ch/docs/tech/tech3285.pdf
666,Portable Network Graphics,1.2,1999/12/31,png,fmt/13,image/png,http://www.libpng.org/pub/png/spec/1.1/
