FormatID,FormatName,FormatVersion,ReleaseDate,ExternalSignature,PUID,MIME,Source
73,Wordperfect Secondary File,5.0,1988/05/05,doc,x-fmt/42,application/vnd.wordperfect,https://winworldpc.com/product/wordperfect/50-dos
74,Wordperfect Secondary File,5.1/5.2,1989/11/06,doc,x-fmt/43,application/vnd.wordperfect,https://winworldpc.com/product/wordperfect/5x-dos
75,WordPerfect for MS-DOS/Windows Document,6.x,13 Sep 1993,doc wpd wp6 wp w60 w61 w62,x-fmt/44,application/vnd.wordperfect,https://www.nationalarchives.gov.uk/PRONOM/x-fmt/44
641,Hypertext Markup Language,4.0,24 Apr 1998,htm html,fmt/99,text/html,https://www.nationalarchives.gov.uk/PRONOM/fmt/99
784,Waveform Audio (PCMWAVEFORMAT),,1991/08,wav wave,fmt/141,audio/x-wav,https://mmsp.ece.mcgill.ca/Documents/AudioFormats/WAVE/WAVE.html
675,Exchangeable Image File Format (Compressed),2.1,1998/12,jpg jpeg,x-fmt/390,image/jpeg,https://www.cipa.jp/std/documents/e/DC-008-2012_E.pdf
686,JP2 (JPEG 2000 part 1),,15 Sep 2004,jp2,x-fmt/392,image/jp2,https://www.nationalarchives.gov.uk/PRONOM/x-fmt/392
619,Graphics Interchange Format,87a,15 Jun 1987,gif,fmt/3,image/gif,https://www.nationalarchives.gov.uk/PRONOM/fmt/3
794,JPX (JPEG 2000 part 2),,2000,jpx jpf,fmt/151,image/jpx,
1755,MIME Email,1.0,1996/11,eml,fmt/950,message/rfc822,https://datatracker.ietf.org/doc/html/rfc2045
620,Graphics Interchange Format,89a,31 Jul 1990,gif,fmt/4,image/gif,https://www.nationalarchives.gov.uk/PRONOM/fmt/4
1033,OpenDocument Text,1.1,2007/02/01,odt ott,fmt/290,application/vnd.oasis.opendocument.text,https://dans.knaw.nl/nl/bestandsformaten/tekstdocumenten/opendocument-text-odt/
780,OpenDocument Spreadsheet,1.0,01 May 2005,ods ots,fmt/137,application/vnd.oasis.opendocument.spreadsheet,https://www.nationalarchives.gov.uk/PRONOM/fmt/137
940,Microsoft Excel for Windows,2007 onwards,2007/01/30,xlsx,fmt/214,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://microsoft.fandom.com/wiki/Microsoft_Office_2007
664,Portable Network Graphics,1.0,1996/10/01,png,fmt/11,image/png,http://www.libpng.org/pub/png/spec/
1250,JPM (JPEG 2000 part 6),,2000,jpm,fmt/463,image/jpm,
1034,OpenDocument Text,1.2,2011/09/29,odt ott,fmt/291,application/vnd.oasis.opendocument.text,https://dans.knaw.nl/nl/bestandsformaten/tekstdocumenten/opendocument-text-odt/
1100,Acrobat PDF/A - Portable Document Format,1b,01 Oct 2005,pdf,fmt/354,application/pdf,https://www.nationalarchives.gov.uk/PRONOM/fmt/354
1264,Acrobat PDF/A - Portable Document Format,2b,2011/06/20,pdf,fmt/477,application/pdf,https://www.iso.org/standard/50655.html
1258,Hypertext Markup Language,5,2008/01/22,htm html,fmt/471,text/html,https://www.w3.org/TR/2008/WD-html5-20080122/
818,Acrobat PDF/X - Portable Document Format - Exchange 1a:2001,,2001,pdf,fmt/157,application/pdf,
1275,Acrobat PDF/X - Portable Document Format - Exchange PDF/X-4,,2008/03,pdf,fmt/488,application/pdf,https://www.iso.org/standard/42876.html
631,Rich Text Format,1.5-1.6,1997/04,rtf,fmt/50,application/rtf text/rtf,http://support.microsoft.com/kb/924944
819,Acrobat PDF/X - Portable Document Format - Exchange 3:2002,,2002,pdf,fmt/158,application/pdf,
1029,WARC,,15 May 2009,warc,fmt/289,application/warc,https://www.nationalarchives.gov.uk/PRONOM/fmt/289
1357,Matroska,1-4,06 Dec 2002,mkv mk3d mka mks,fmt/569,audio/x-matroska video/x-matroska,https://www.nationalarchives.gov.uk/PRONOM/fmt/569
